geoid,tract_name,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle
17031020302,Census Tract 203.02; Cook County; Illinois,1711,174,816,593,128,0.1016949152542373,0.47691408533021623,0.34658094681472823,0.07481005260081823
17031020400,Census Tract 204; Cook County; Illinois,1707,193,795,556,146,0.11306385471587581,0.46572934973637964,0.325717633274751,0.08553016988869361
17031020500,Census Tract 205; Cook County; Illinois,2184,554,963,629,23,0.25366300366300365,0.4409340659340659,0.288003663003663,0.010531135531135532
17031020601,Census Tract 206.01; Cook County; Illinois,2052,369,750,811,80,0.17982456140350878,0.3654970760233918,0.39522417153996103,0.03898635477582846
17031020602,Census Tract 206.02; Cook County; Illinois,1611,168,630,533,82,0.1042830540037244,0.39106145251396646,0.3308504034761018,0.05090006207324643
17031020701,Census Tract 207.01; Cook County; Illinois,748,31,288,368,39,0.04144385026737968,0.3850267379679144,0.4919786096256685,0.05213903743315508
17031020702,Census Tract 207.02; Cook County; Illinois,2487,360,1058,886,152,0.14475271411338964,0.4254121431443506,0.35625251306795336,0.0611178126256534
17031020801,Census Tract 208.01; Cook County; Illinois,2164,255,1159,626,87,0.1178373382624769,0.5355822550831792,0.28927911275415896,0.040203327171903884
17031020802,Census Tract 208.02; Cook County; Illinois,2125,282,939,508,358,0.13270588235294117,0.44188235294117645,0.23905882352941177,0.16847058823529412
17031020901,Census Tract 209.01; Cook County; Illinois,2212,351,1314,396,76,0.15867992766726943,0.5940325497287523,0.17902350813743217,0.034358047016274866
17031020902,Census Tract 209.02; Cook County; Illinois,1564,412,776,269,107,0.26342710997442453,0.4961636828644501,0.17199488491048592,0.06841432225063938
17031030101,Census Tract 301.01; Cook County; Illinois,2162,1164,849,108,18,0.5383903792784459,0.3926919518963922,0.04995374653098982,0.008325624421831638
17031030102,Census Tract 301.02; Cook County; Illinois,1989,815,1016,158,0,0.4097536450477627,0.5108094519859225,0.07943690296631473,0.0
