geoid,tract_name,median_income
17031070200,Census Tract 702; Cook County; Illinois,101992.0
17031070300,Census Tract 703; Cook County; Illinois,178750.0
17031070400,Census Tract 704; Cook County; Illinois,205772.0
17031070500,Census Tract 705; Cook County; Illinois,194408.0
17031070600,Census Tract 706; Cook County; Illinois,210469.0
17031070700,Census Tract 707; Cook County; Illinois,146806.0
17031071000,Census Tract 710; Cook County; Illinois,186518.0
17031071100,Census Tract 711; Cook County; Illinois,212677.0
17031071200,Census Tract 712; Cook County; Illinois,131163.0
17031071300,Census Tract 713; Cook County; Illinois,127083.0
17031071400,Census Tract 714; Cook County; Illinois,123070.0
17031071500,Census Tract 715; Cook County; Illinois,123663.0
17031071600,Census Tract 716; Cook County; Illinois,242250.0
17031071700,Census Tract 717; Cook County; Illinois,149821.0
17031071800,Census Tract 718; Cook County; Illinois,232807.0
17031080100,Census Tract 801; Cook County; Illinois,116983.0
17031080201,Census Tract 802.01; Cook County; Illinois,118417.0
17031080202,Census Tract 802.02; Cook County; Illinois,104129.0
17031080300,Census Tract 803; Cook County; Illinois,157882.0
17031080400,Census Tract 804; Cook County; Illinois,
17031081000,Census Tract 810; Cook County; Illinois,81616.0
17031081100,Census Tract 811; Cook County; Illinois,79683.0
17031081201,Census Tract 812.01; Cook County; Illinois,134246.0
17031081202,Census Tract 812.02; Cook County; Illinois,158100.0
17031081300,Census Tract 813; Cook County; Illinois,115260.0
17031081401,Census Tract 814.01; Cook County; Illinois,82365.0
17031081402,Census Tract 814.02; Cook County; Illinois,166824.0
17031081403,Census Tract 814.03; Cook County; Illinois,117550.0
17031081500,Census Tract 815; Cook County; Illinois,141780.0
17031081600,Census Tract 816; Cook County; Illinois,140323.0
17031081700,Census Tract 817; Cook County; Illinois,134579.0
17031081800,Census Tract 818; Cook County; Illinois,157238.0
17031081900,Census Tract 819; Cook County; Illinois,238250.0
17031090100,Census Tract 901; Cook County; Illinois,136463.0
17031090200,Census Tract 902; Cook County; Illinois,129787.0
17031090300,Census Tract 903; Cook County; Illinois,117768.0
17031100100,Census Tract 1001; Cook County; Illinois,109242.0
17031100200,Census Tract 1002; Cook County; Illinois,113767.0
17031100300,Census Tract 1003; Cook County; Illinois,74250.0
17031100400,Census Tract 1004; Cook County; Illinois,144125.0
17031100500,Census Tract 1005; Cook County; Illinois,117583.0
17031100600,Census Tract 1006; Cook County; Illinois,84896.0
17031100700,Census Tract 1007; Cook County; Illinois,131932.0
17031110100,Census Tract 1101; Cook County; Illinois,94141.0
17031110200,Census Tract 1102; Cook County; Illinois,66429.0
17031110300,Census Tract 1103; Cook County; Illinois,122652.0
17031110400,Census Tract 1104; Cook County; Illinois,85825.0
17031110501,Census Tract 1105.01; Cook County; Illinois,104848.0
17031110502,Census Tract 1105.02; Cook County; Illinois,80762.0
17031120100,Census Tract 1201; Cook County; Illinois,157543.0
17031120200,Census Tract 1202; Cook County; Illinois,155481.0
17031120300,Census Tract 1203; Cook County; Illinois,137043.0
17031120400,Census Tract 1204; Cook County; Illinois,117404.0
17031130100,Census Tract 1301; Cook County; Illinois,41336.0
17031130200,Census Tract 1302; Cook County; Illinois,103611.0
17031130300,Census Tract 1303; Cook County; Illinois,69857.0
17031140100,Census Tract 1401; Cook County; Illinois,92595.0
17031140200,Census Tract 1402; Cook County; Illinois,68875.0
17031140301,Census Tract 1403.01; Cook County; Illinois,71648.0
17031140302,Census Tract 1403.02; Cook County; Illinois,75806.0
17031140400,Census Tract 1404; Cook County; Illinois,98819.0
17031140500,Census Tract 1405; Cook County; Illinois,70598.0
17031140601,Census Tract 1406.01; Cook County; Illinois,81833.0
17031140602,Census Tract 1406.02; Cook County; Illinois,67321.0
17031140701,Census Tract 1407.01; Cook County; Illinois,107790.0
17031140702,Census Tract 1407.02; Cook County; Illinois,78789.0
17031140800,Census Tract 1408; Cook County; Illinois,100250.0
17031150200,Census Tract 1502; Cook County; Illinois,94021.0
17031150300,Census Tract 1503; Cook County; Illinois,88125.0
17031150401,Census Tract 1504.01; Cook County; Illinois,93616.0
17031150402,Census Tract 1504.02; Cook County; Illinois,102094.0
17031150501,Census Tract 1505.01; Cook County; Illinois,126806.0
17031150502,Census Tract 1505.02; Cook County; Illinois,69869.0
17031150600,Census Tract 1506; Cook County; Illinois,95045.0
17031150700,Census Tract 1507; Cook County; Illinois,108385.0
17031150800,Census Tract 1508; Cook County; Illinois,79044.0
17031151001,Census Tract 1510.01; Cook County; Illinois,91992.0
17031151002,Census Tract 1510.02; Cook County; Illinois,78851.0
17031151100,Census Tract 1511; Cook County; Illinois,76864.0
17031151200,Census Tract 1512; Cook County; Illinois,92201.0
17031160100,Census Tract 1601; Cook County; Illinois,111602.0
17031160200,Census Tract 1602; Cook County; Illinois,128288.0
17031160300,Census Tract 1603; Cook County; Illinois,76083.0
17031160400,Census Tract 1604; Cook County; Illinois,72593.0
