geoid,tract_name,workers_total,workers_car,workers_public,workers_walk,workers_other,workers_home,pct_car,pct_public,pct_walk,pct_other,pct_home
17031010100,Census Tract 101; Cook County; Illinois,2279,783,571,99,242,523,0.3435717419921018,0.2505484861781483,0.0434401053093462,0.10618692408951294,0.22948661693725317
17031010201,Census Tract 102.01; Cook County; Illinois,3681,2094,903,61,209,414,0.5688671556642216,0.24531377343113284,0.016571583808747622,0.05677804944308612,0.11246943765281174
17031010202,Census Tract 102.02; Cook County; Illinois,1292,564,493,0,0,194,0.43653250773993807,0.3815789473684211,0.0,0.0,0.15015479876160992
17031010300,Census Tract 103; Cook County; Illinois,3664,1739,1042,104,17,762,0.474617903930131,0.2843886462882096,0.028384279475982533,0.004639737991266376,0.20796943231441048
17031010400,Census Tract 104; Cook County; Illinois,2150,737,721,26,195,471,0.3427906976744186,0.3353488372093023,0.012093023255813953,0.09069767441860466,0.21906976744186046
17031010501,Census Tract 105.01; Cook County; Illinois,2360,775,901,75,113,409,0.3283898305084746,0.38177966101694916,0.03177966101694915,0.04788135593220339,0.1733050847457627
17031010502,Census Tract 105.02; Cook County; Illinois,2007,665,701,17,119,469,0.33134030891878424,0.34927752864972594,0.008470353761833582,0.059292476332835076,0.23368211260587943
17031010503,Census Tract 105.03; Cook County; Illinois,1342,436,468,22,145,262,0.32488822652757077,0.34873323397913564,0.01639344262295082,0.10804769001490314,0.19523099850968703
17031010600,Census Tract 106; Cook County; Illinois,4127,1735,958,188,209,931,0.4204022292221953,0.2321298764235522,0.04555367094741943,0.05064211291495033,0.22558759389386965
17031010701,Census Tract 107.01; Cook County; Illinois,2086,1075,330,53,104,493,0.5153403643336529,0.15819750719079578,0.025407478427612654,0.04985618408437201,0.23633748801534035
17031010702,Census Tract 107.02; Cook County; Illinois,2448,1155,626,67,100,364,0.47181372549019607,0.255718954248366,0.027369281045751634,0.04084967320261438,0.14869281045751634
17031020100,Census Tract 201; Cook County; Illinois,2202,1634,235,0,67,220,0.7420526793823796,0.1067211625794732,0.0,0.030426884650317895,0.09990917347865577
17031020200,Census Tract 202; Cook County; Illinois,2824,2107,358,0,93,218,0.7461048158640227,0.12677053824362605,0.0,0.03293201133144476,0.07719546742209632
17031020301,Census Tract 203.01; Cook County; Illinois,1915,1548,213,0,65,71,0.808355091383812,0.11122715404699739,0.0,0.033942558746736295,0.037075718015665796
17031020302,Census Tract 203.02; Cook County; Illinois,1948,1107,374,42,57,302,0.5682751540041068,0.1919917864476386,0.021560574948665298,0.029260780287474333,0.15503080082135523
17031020400,Census Tract 204; Cook County; Illinois,2181,1573,285,0,70,237,0.7212287941311325,0.13067400275103164,0.0,0.03209536909674461,0.10866574965612105
17031020500,Census Tract 205; Cook County; Illinois,2686,1615,502,88,138,292,0.6012658227848101,0.18689501116902457,0.03276247207743857,0.05137751303052867,0.10871183916604617
17031020601,Census Tract 206.01; Cook County; Illinois,2243,1382,180,43,228,368,0.6161390994204191,0.08024966562639323,0.019170753455193937,0.10164957646009808,0.16406598305840392
17031020602,Census Tract 206.02; Cook County; Illinois,2683,2090,142,15,2,405,0.7789787551248603,0.052925829295564664,0.005590756615728662,0.0007454342154304882,0.15095042862467387
17031020701,Census Tract 207.01; Cook County; Illinois,847,618,45,0,22,160,0.7296340023612751,0.053128689492325853,0.0,0.025974025974025976,0.18890200708382526
17031020702,Census Tract 207.02; Cook County; Illinois,3422,2690,294,0,141,203,0.7860900058445354,0.08591466978375219,0.0,0.04120397428404442,0.059322033898305086
17031020801,Census Tract 208.01; Cook County; Illinois,2350,1582,214,27,85,423,0.6731914893617021,0.09106382978723404,0.01148936170212766,0.036170212765957444,0.18
17031020802,Census Tract 208.02; Cook County; Illinois,3088,2134,166,0,178,470,0.6910621761658031,0.05375647668393782,0.0,0.05764248704663212,0.15220207253886012
17031020901,Census Tract 209.01; Cook County; Illinois,3097,1799,611,41,78,525,0.5808847271553116,0.19728769777203745,0.013238618017436228,0.025185663545366485,0.16951888924765904
17031020902,Census Tract 209.02; Cook County; Illinois,1458,868,158,0,64,205,0.5953360768175583,0.1083676268861454,0.0,0.0438957475994513,0.14060356652949246
17031030101,Census Tract 301.01; Cook County; Illinois,1640,642,651,24,82,173,0.39146341463414636,0.39695121951219514,0.014634146341463415,0.05,0.10548780487804878
17031030102,Census Tract 301.02; Cook County; Illinois,2101,753,650,0,281,394,0.3584007615421228,0.3093764873869586,0.0,0.13374583531651593,0.18752974773917183
17031030103,Census Tract 301.03; Cook County; Illinois,1227,378,537,10,123,179,0.3080684596577017,0.43765281173594134,0.008149959250203748,0.10024449877750612,0.1458842705786471
17031030104,Census Tract 301.04; Cook County; Illinois,1065,252,278,7,205,309,0.23661971830985915,0.26103286384976526,0.006572769953051643,0.19248826291079812,0.29014084507042254
17031030200,Census Tract 302; Cook County; Illinois,3467,1903,741,120,110,521,0.5488895298528987,0.21372944909143352,0.03461205653302567,0.031727718488606865,0.15027401211421978
17031030300,Census Tract 303; Cook County; Illinois,2064,745,818,19,108,318,0.36094961240310075,0.3963178294573643,0.009205426356589148,0.05232558139534884,0.15406976744186046
17031030400,Census Tract 304; Cook County; Illinois,1761,853,266,13,99,475,0.4843838727995457,0.15105053946621239,0.0073821692220329355,0.056218057921635436,0.26973310618966495
17031030500,Census Tract 305; Cook County; Illinois,4558,1591,1148,103,69,1601,0.3490566037735849,0.25186485300570427,0.0225976305397104,0.015138218516893374,0.35125054848617815
