geoid,tract_name,median_income,workers_total,workers_car,workers_public,workers_walk,workers_other,workers_home,pct_car,pct_public,pct_walk,pct_other,pct_home,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle,mean_travel_time_min
17031020802,Census Tract 208.02; Cook County; Illinois,70044.0,3088,2134,166,0,178,470,0.6910621761658031,0.0537564766839378,0.0,0.0576424870466321,0.1522020725388601,2125,282,939,508,358,0.1327058823529411,0.4418823529411764,0.2390588235294117,0.1684705882352941,43.63333333333333
17031020901,Census Tract 209.01; Cook County; Illinois,52378.0,3097,1799,611,41,78,525,0.5808847271553116,0.1972876977720374,0.0132386180174362,0.0251856635453664,0.169518889247659,2212,351,1314,396,76,0.1586799276672694,0.5940325497287523,0.1790235081374321,0.0343580470162748,42.86666666666667
17031020902,Census Tract 209.02; Cook County; Illinois,47963.0,1458,868,158,0,64,205,0.5953360768175583,0.1083676268861454,0.0,0.0438957475994513,0.1406035665294924,1564,412,776,269,107,0.2634271099744245,0.4961636828644501,0.1719948849104859,0.0684143222506393,20.883333333333333
17031030101,Census Tract 301.01; Cook County; Illinois,49132.0,1640,642,651,24,82,173,0.3914634146341463,0.3969512195121951,0.0146341463414634,0.05,0.1054878048780487,2162,1164,849,108,18,0.5383903792784459,0.3926919518963922,0.0499537465309898,0.0083256244218316,24.45
17031030102,Census Tract 301.02; Cook County; Illinois,59622.0,2101,753,650,0,281,394,0.3584007615421228,0.3093764873869586,0.0,0.1337458353165159,0.1875297477391718,1989,815,1016,158,0,0.4097536450477627,0.5108094519859225,0.0794369029663147,0.0,28.45
17031030103,Census Tract 301.03; Cook County; Illinois,55651.0,1227,378,537,10,123,179,0.3080684596577017,0.4376528117359413,0.0081499592502037,0.1002444987775061,0.1458842705786471,1091,627,434,22,8,0.5747021081576535,0.3978001833180568,0.0201649862511457,0.0073327222731439,17.466666666666665
17031030104,Census Tract 301.04; Cook County; Illinois,47330.0,1065,252,278,7,205,309,0.2366197183098591,0.2610328638497652,0.0065727699530516,0.1924882629107981,0.2901408450704225,1043,435,515,93,0,0.4170661553211889,0.4937679769894535,0.0891658676893576,0.0,12.6
17031030200,Census Tract 302; Cook County; Illinois,103758.0,3467,1903,741,120,110,521,0.5488895298528987,0.2137294490914335,0.0346120565330256,0.0317277184886068,0.1502740121142197,2533,444,1178,880,31,0.1752862218712988,0.4650611922621397,0.3474141334386103,0.012238452427951,49.1
17031030300,Census Tract 303; Cook County; Illinois,67143.0,2064,745,818,19,108,318,0.3609496124031007,0.3963178294573643,0.0092054263565891,0.0523255813953488,0.1540697674418604,1470,643,452,275,100,0.4374149659863945,0.3074829931972789,0.1870748299319728,0.0680272108843537,29.1
17031030400,Census Tract 304; Cook County; Illinois,97442.0,1761,853,266,13,99,475,0.4843838727995457,0.1510505394662123,0.0073821692220329,0.0562180579216354,0.2697331061896649,1354,354,630,292,78,0.2614475627769572,0.465288035450517,0.2156573116691285,0.0576070901033973,21.433333333333334
