"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0100000US","United States","157645183","166534","124059213","138960","110653318","98643","13405895","59144","9987277","43278","2030377","19509","777394","10795","406853","6119","203994","3691","5528841","19922","2629321","14403","2117756","14076","569246","6702","148661","3626","63857","2535","357134","6050","196174","3988","705862","7374","3785388","18195","1745198","13594","21267373","54435",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","1948","339","1107","317","1037","316","70","52","70","52","0","12","0","12","0","12","0","12","374","170","229","163","79","53","66","67","0","12","0","12","15","24","13","19","42","42","57","51","38","59","302","105",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","2181","404","1573","380","1220","225","353","309","291","301","62","56","0","12","0","12","0","12","285","134","166","113","59","58","60","53","0","12","0","12","16","25","0","12","0","12","70","71","0","12","237","105",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","2686","592","1615","364","1320","370","295","156","157","115","12","29","41","67","0","17","85","80","502","288","338","224","87","131","26","42","51","85","0","17","0","17","51","79","88","87","138","112","0","17","292","176",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","2243","503","1382","283","1196","274","186","103","106","70","18","29","0","17","47","78","15","28","180","113","88","91","92","77","0","17","0","17","0","17","0","17","0","17","43","70","228","128","42","40","368","285",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","2683","1023","2090","806","1784","795","306","200","119","103","170","155","0","17","17","35","0","17","142","95","110","80","32","34","0","17","0","17","0","17","29","35","0","17","15","30","2","4","0","17","405","277",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","847","92","618","100","553","102","65","32","14","15","30","25","0","12","21","27","0","12","45","31","20","22","25","22","0","12","0","12","0","12","0","12","0","12","0","12","22","28","2","5","160","47",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","3422","753","2690","751","2478","770","212","143","79","80","92","92","0","17","0","17","41","72","294","170","267","184","27","44","0","17","0","17","0","17","0","17","0","17","0","17","141","82","94","148","203","141",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","2350","470","1582","436","1423","413","159","126","96","102","46","48","0","17","0","17","17","28","214","113","77","76","109","83","28","34","0","17","0","17","19","31","0","17","27","43","85","69","0","17","423","126",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","3088","584","2134","489","1828","441","306","152","210","119","73","90","23","31","0","17","0","17","166","113","146","116","20","38","0","17","0","17","0","17","51","64","0","17","0","17","178","112","89","91","470","234",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","3097","523","1799","421","1469","373","330","203","208","146","34","53","39","43","49","68","0","17","611","233","370","185","212","137","29","34","0","17","0","17","0","17","0","17","41","38","78","64","43","71","525","341",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","1458","241","868","229","805","229","63","48","38","29","25","37","0","12","0","12","0","12","158","77","123","68","12","15","23","25","0","12","0","12","55","67","0","12","0","12","64","81","108","85","205","102",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","1640","264","642","212","561","193","81","78","54","65","0","12","0","12","0","12","27","40","651","180","394","170","242","119","15","32","0","12","0","12","33","39","0","12","24","39","82","73","35","55","173","84",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","2101","346","753","253","523","165","230","165","230","165","0","12","0","12","0","12","0","12","650","157","252","108","398","130","0","12","0","12","0","12","23","26","0","12","0","12","281","193","0","12","394","114",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","1227","188","378","132","310","117","68","71","68","71","0","12","0","12","0","12","0","12","537","143","203","99","334","108","0","12","0","12","0","12","0","12","0","12","10","16","123","64","0","12","179","70",
